,Date,Time Entered,Last Modified,Occupancy
0,2023-08-16,11:16:30,11:16:30,26
1,2023-08-16,11:28:15,11:28:15,-2
2,2023-08-16,11:31:10,11:31:10,-1
3,2023-08-16,11:31:42,11:31:42,1
4,2023-08-16,11:34:17,11:34:17,2
5,2023-08-16,11:43:55,11:43:55,-1
6,2023-08-16,11:44:06,11:44:06,-5
7,2023-08-16,11:45:08,11:45:08,-20
8,2023-08-16,11:45:37,11:45:37,3
9,2023-08-16,11:47:06,11:47:06,-1
10,2023-08-16,11:52:38,11:52:38,1
11,2023-08-16,12:09:55,12:09:55,-1
12,2023-08-16,12:10:21,12:10:21,1
13,2023-08-16,12:13:40,12:13:40,4
14,2023-08-16,12:17:21,12:17:21,1
15,2023-08-16,12:17:28,12:17:28,-1
16,2023-08-16,12:17:42,12:17:51,0
17,2023-08-16,12:18:24,12:18:24,1
18,2023-08-16,12:18:38,12:18:43,0
19,2023-08-16,12:18:48,12:18:48,-1
20,2023-08-16,12:19:13,12:19:13,1
21,2023-08-16,12:23:01,12:23:01,-1
22,2023-08-16,12:24:19,12:24:19,1
23,2023-08-16,12:27:36,12:27:36,-2
24,2023-08-16,12:32:45,12:32:45,2
25,2023-08-16,12:41:12,12:41:12,-4
26,2023-08-16,12:45:40,12:45:40,1
27,2023-08-16,12:48:10,12:48:10,-1
28,2023-08-16,13:06:24,13:06:24,1
29,2023-08-16,13:08:00,13:08:00,-1
30,2023-08-16,13:31:06,13:31:06,1
31,2023-08-16,13:31:43,13:31:43,-2
32,2023-08-16,13:32:40,13:32:40,1
33,2023-08-16,13:38:51,13:38:51,1
