Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-08-16 11:16:30,2023-08-16 11:16:30,26,middle,ac,lab,2,sunny
2023-08-16 11:28:15,2023-08-16 11:28:15,-2,middle,ac,lab,2,sunny
2023-08-16 11:31:10,2023-08-16 11:31:10,-1,middle,ac,lab,2,sunny
2023-08-16 11:31:42,2023-08-16 11:31:42,1,middle,ac,lab,2,sunny
2023-08-16 11:34:17,2023-08-16 11:34:17,2,middle,ac,lab,2,sunny
2023-08-16 11:43:55,2023-08-16 11:43:55,-1,middle,ac,lab,2,sunny
2023-08-16 11:44:06,2023-08-16 11:44:06,-5,middle,ac,lab,2,sunny
2023-08-16 11:45:08,2023-08-16 11:45:08,-20,middle,ac,lab,2,sunny
2023-08-16 11:45:37,2023-08-16 11:45:37,3,middle,ac,lab,2,sunny
2023-08-16 11:47:06,2023-08-16 11:47:06,-1,middle,ac,lab,2,sunny
2023-08-16 11:52:38,2023-08-16 11:52:38,1,middle,ac,lab,2,sunny
2023-08-16 12:09:55,2023-08-16 12:09:55,-1,middle,ac,lab,2,sunny
2023-08-16 12:10:21,2023-08-16 12:10:21,1,middle,ac,lab,2,sunny
2023-08-16 12:13:40,2023-08-16 12:13:40,4,middle,ac,lab,2,sunny
2023-08-16 12:17:21,2023-08-16 12:17:21,1,middle,ac,lab,2,sunny
2023-08-16 12:17:28,2023-08-16 12:17:28,-1,middle,ac,lab,2,sunny
2023-08-16 12:17:42,2023-08-16 12:17:51,0,middle,ac,lab,2,sunny
2023-08-16 12:18:24,2023-08-16 12:18:24,1,middle,ac,lab,2,sunny
2023-08-16 12:18:38,2023-08-16 12:18:43,0,middle,ac,lab,2,sunny
2023-08-16 12:18:48,2023-08-16 12:18:48,-1,middle,ac,lab,2,sunny
2023-08-16 12:19:13,2023-08-16 12:19:13,1,middle,ac,lab,2,sunny
2023-08-16 12:23:01,2023-08-16 12:23:01,-1,middle,ac,lab,2,sunny
2023-08-16 12:24:19,2023-08-16 12:24:19,1,middle,ac,lab,2,sunny
2023-08-16 12:27:36,2023-08-16 12:27:36,-2,middle,ac,lab,2,sunny
2023-08-16 12:32:45,2023-08-16 12:32:45,2,middle,ac,lab,2,sunny
2023-08-16 12:41:12,2023-08-16 12:41:12,-4,middle,ac,lab,2,sunny
2023-08-16 12:45:40,2023-08-16 12:45:40,1,middle,ac,lab,2,sunny
2023-08-16 12:48:10,2023-08-16 12:48:10,-1,middle,ac,lab,2,sunny
2023-08-16 13:06:24,2023-08-16 13:06:24,1,middle,ac,lab,2,sunny
2023-08-16 13:08:00,2023-08-16 13:08:00,-1,middle,ac,lab,2,sunny
2023-08-16 13:31:06,2023-08-16 13:31:06,1,middle,ac,lab,2,sunny
2023-08-16 13:31:43,2023-08-16 13:31:43,-2,middle,ac,lab,2,sunny
2023-08-16 13:32:40,2023-08-16 13:32:40,1,middle,ac,lab,2,sunny
2023-08-16 13:38:51,2023-08-16 13:38:51,1,middle,ac,lab,2,sunny
